,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003219103354064,3.9206754477641823,4.155678154803517,3.5276215375706967,3.9203140710260875,4.1427507485050326,2.655788157409433,4.0663060212081845,4.010428809143201,3.8052435279992056,3.5362480085073225,3.5602565753606825,4.960094432687432,3.9993509158504463,3.2662047307319417,3.8864649546467493,2.3819952632643004,3.153735539926809,4.119081833613361,3.4066240104122065,4.011840628548494,3.609062873177836,3.4818551643301494,3.7983990667941288,3.7970550547308606,3.984582091161972,3.330239547002942,3.9905305995508984,3.457332305342158,3.108840918981834,2.7236853963775047,3.3566013809754542,3.0401143145586302,4.570280758464919
2,4.970693347646649,4.967969122252749,4.445326489801517,3.903774176184622,4.83124714205967,4.706594848640658,3.394144498303703,4.698896482055387,4.531669835013468,4.837432038994055,3.9629607834528238,4.066020667022553,4.77680806974828,4.012892495260785,3.998508404804067,4.217619158368908,2.527063169683112,3.543067383563775,4.199285141713566,4.398580267750589,4.993945929524436,4.57377910769961,3.822326681324502,4.7322547518589815,4.3143433146761,4.494218425909893,4.41465185210349,4.163663550844185,3.4624452325690793,4.388992856481742,2.994314595989379,4.346962827342802,4.013346003456866,3.9994102471141617
3,4.017211337605715,3.9857008807735017,4.955712698379324,4.088404618140424,4.528626262230384,4.271157370245453,2.8186161111595687,4.337877709317071,4.491406470734631,4.3677550199150454,3.724385405519041,3.5323567332850354,4.964905585390164,4.196691380057301,3.443443496279696,3.620998428428794,2.754004290058078,3.4212716299157973,4.216386800456114,3.502777172020729,4.440173710869596,3.010933124518484,3.016022611292851,3.863067177923678,4.080596948521896,4.316982854831406,3.879431363236119,4.474722804713705,3.2058931671959447,3.238396231485283,2.2332827353719584,2.591450582798843,3.445052516766197,4.599093531367578
4,4.991064798360771,4.987251383074736,4.928977605621594,4.961956603447913,5.010571074699104,4.9615947556059545,3.945017340743805,5.076057524246956,4.9519218653033175,5.017217590933804,4.511452845841478,3.8221264998956332,5.000360732318034,4.20430002184203,3.5828824414634592,4.371665187288034,3.1262802546267743,3.541914764964537,4.341290379977464,3.982403172490016,4.722368385827776,4.591620123826596,3.59835551461774,4.979615900850771,4.062707883988059,4.741866176863556,4.503092392803845,4.906701843082787,3.1165986885168904,3.413158166767802,2.0082940832529688,4.223563103367698,4.1716577065560525,4.644319928466998
5,4.980619173678148,4.240509536825286,5.461142175350804,4.373736534090446,5.162612124632163,4.555444911300998,3.1502799401117514,4.638079361561553,4.982058763780794,4.918988985992906,4.143325434752632,4.1065989226142925,4.971186204626231,4.676487848386908,3.2949974382089335,4.269615450200405,3.023458062423257,3.4374469360696582,4.969744007030946,3.39088671478823,3.9950541673641164,3.4894093955873,3.108976892073628,4.431990007529653,4.506946960360435,4.723240799622292,3.737431846537728,5.073126778625371,3.0172386476038975,3.610390216364259,2.9962679874537987,2.0317975689420433,4.980752387731911,4.987310910691087
6,4.970676344188401,4.96453515664934,4.16845549991554,3.877352677662243,4.506992033934241,4.5416602804803095,3.5552151433574477,4.707924512654188,4.286753547947912,4.623683813740433,3.884577187131372,3.787404735910423,4.322451824049117,3.631634660381994,3.9073578822190123,4.099777687867855,2.543888592380865,3.085606791629023,3.7355748680610033,4.184301955257884,4.888298676463796,4.814997949663343,3.9068295985801242,4.847354220242755,4.016441285211559,4.218005965879784,4.734073693270539,3.83757058785244,3.475493652940949,3.811066499640536,2.0107219595362897,4.979286365241837,4.001689790212162,3.016657105581312
7,4.978860852667154,4.184318573915633,4.220177779662091,2.041100692754365,4.145519519404209,4.238297355540313,2.827705646559448,4.041041748008065,4.000869825067381,4.115010749163022,3.328537327996892,4.967691638045631,4.98858429772193,4.9129629706115345,4.039945232260974,4.9834678350321955,2.115456661164672,2.940030158142018,4.260892502200045,4.523431775596077,4.619635990988396,4.9959488985187415,4.981600510476265,4.6934254075914765,4.547705697395837,3.987793819188527,3.7972906481071647,3.6673607808025923,5.167242968434454,4.447380449945882,4.281613337549057,4.518523716450423,4.580591622222513,4.0029569275448615
8,4.033173671107656,4.610623902088319,4.988331961675611,4.093224630986627,4.812395661712725,4.380078124184506,3.4545863764702704,4.456718814144549,4.89281898542226,5.002093216664629,4.260792954253254,4.029698318441779,4.414040902044136,4.984766903609152,3.482296002259794,4.047814903050764,3.301988549091899,4.05619525469091,3.6636810007800946,3.938713252338283,5.037918102274217,3.635333212189722,3.001188182264359,4.480467104923264,4.267416061491617,4.697469069341415,4.961249070261838,4.964600657641204,3.400829500385713,3.4733287542923637,2.098642043158409,3.153991125238939,3.7950878525216045,4.454755854447177
9,4.985844952869412,4.639865869000686,4.999148089904514,4.143234103955787,4.872311205766414,4.668035572507804,3.4080410131556467,4.7965249587758345,4.769049365340777,4.763509643587784,4.352472310759243,4.28936083365648,4.999029726449106,4.8675121135111965,3.362367050198133,4.9777911444612,2.9752214001050943,3.4521218020498647,4.364186314958452,3.5884009956580227,4.595676490720664,4.565749879374257,3.972494732343443,4.753971858629597,4.421059007406978,4.743337518562064,4.053825015745482,4.974982117051584,3.9982818741603205,3.4462489591761756,2.6121243100630123,3.7340587095047892,4.461431228193684,4.890124114332676
10,4.009607960229991,3.9852497336388346,4.000586785072108,2.524844042971804,3.924653192995629,4.251461327496184,2.7783388879841238,4.018313655852276,4.007630322365397,3.9033061901645043,2.5112152729937285,4.011643348080177,4.990416182514409,3.0195544768797067,4.950845523013048,3.549166064982665,2.947571703225096,2.79623294680529,4.521410924090712,5.087291135299835,3.978698020921193,4.001602909498131,4.960479233664173,4.037036921862572,3.6454617499043254,3.5721404776545063,3.897984648596066,3.2066175120464173,4.9978947983879065,5.33029594768242,2.967693116671841,4.661648413180139,3.2997239219974053,4.022464662199982
